host_since,accommodates,bathrooms,bedrooms,beds,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,maximum_nights,availability_90,Commercial,resp_rate
2012,2,1,1,1,NA,120,NA,NA,NA,NA,2,1125,82,No,80
2011,2,1,1,2,NA,70,NA,NA,100,35,3,20,34,No,100
2013,2,1,1,1,NA,150,NA,NA,NA,NA,1,1125,0,No,NA
2013,6,2,2,2,NA,500,NA,NA,500,100,1,1125,54,No,100
2013,3,1,1,1,NA,200,NA,NA,200,50,1,1125,54,No,100
2013,4,2,2,2,NA,250,NA,NA,500,100,2,14,32,No,100
2013,2,1,0,1,NA,150,NA,NA,NA,25,3,1125,0,No,NA
2012,2,1,1,1,NA,80,600,1700,NA,NA,3,1125,53,No,100
2013,2,1,0,1,NA,115,NA,NA,NA,NA,5,1125,38,No,100
2012,4,1,2,2,NA,99,NA,NA,NA,99,1,1125,34,Yes,99
2013,6,1,2,2,NA,300,NA,NA,300,60,2,1125,0,No,NA
2013,4,1,0,2,NA,183,NA,NA,100,40,2,1125,63,Yes,100
2014,4,1,1,1,NA,140,NA,4200,200,95,4,1125,28,No,100
2013,3,1,1,2,NA,234,NA,5970,NA,100,3,1125,72,Yes,97
2013,5,2,2,3,NA,312,NA,6870,NA,100,3,1125,78,Yes,97
2013,2,1,1,1,NA,185,1000,3400,400,225,31,365,26,Yes,100
2014,2,1,1,1,NA,195,NA,NA,300,40,1,6,7,No,100
2012,2,1,1,1,NA,115,821,NA,500,10,2,1125,49,No,100
2013,3,1,1,2,NA,285,NA,5970,NA,100,3,1125,84,Yes,97
2013,5,1,2,3,NA,293,NA,8070,NA,100,3,1125,90,Yes,97
2013,5,1,2,3,NA,285,2450,8070,NA,100,3,1125,90,Yes,97
2013,10,3.5,4,7,NA,450,NA,NA,250,200,2,14,0,Yes,100
2013,5,2,2,2,NA,425,NA,NA,550,140,2,75,44,Yes,100
2014,2,1,1,1,NA,56,472,1200,100,25,1,14,79,Yes,100
2013,4,1,1,1,NA,175,800,2700,NA,125,1,1125,28,Yes,97
2014,3,1,1,2,NA,79,599,2399,0,0,2,1125,17,No,100
2011,6,1.5,2,2,NA,250,NA,NA,500,130,2,1125,34,Yes,100
2014,2,1,1,1,NA,95,NA,NA,750,0,1,1125,72,No,100
2011,2,1,0,1,NA,215,1250,3900,250,60,3,90,44,No,100
2014,3,1,1,1,NA,99,NA,NA,100,45,2,1125,0,No,NA
2011,2,1,1,1,NA,164,NA,NA,500,105,2,365,35,Yes,99
2014,2,1,1,2,NA,135,NA,NA,0,45,2,14,44,No,100
2014,2,1,1,1,NA,151,NA,NA,NA,65,1,1125,17,Yes,100
2012,2,1,1,1,NA,180,NA,3400,500,125,4,1124,42,Yes,100
2012,4,1,1,1,NA,195,NA,3300,500,125,4,1124,41,Yes,100
2012,4,1,2,2,NA,99,NA,NA,NA,99,1,1125,55,Yes,99
2012,5,2,3,3,NA,113,NA,NA,NA,NA,4,5,0,No,NA
2012,5,1,1,2,NA,79,489,NA,NA,49,2,20,0,Yes,90
2013,2,1,0,1,NA,140,NA,3300,400,225,31,1100,2,Yes,100
2014,2,1,1,1,NA,52,NA,1550,NA,NA,28,1125,1,No,100
2014,2,1,1,2,NA,60,NA,2300,NA,NA,28,1125,1,No,100
2012,2,1,0,1,NA,190,NA,NA,NA,50,1,1125,0,No,NA
2012,2,1,0,1,NA,150,900,2800,500,100,4,360,38,Yes,100
2012,2,1,1,1,NA,198,1300,3400,500,125,2,1123,35,Yes,100
2011,8,2.5,3,4,NA,417,NA,NA,500,140,2,1125,21,Yes,99
2014,1,2.5,1,1,NA,40,250,800,NA,NA,2,1125,0,No,100
2014,10,2.5,4,6,NA,450,2000,NA,200,100,2,1125,0,No,NA
2012,4,2,2,2,NA,597,3397,12229,150,97,10,60,0,Yes,100
2014,6,1.5,3,3,NA,350,1750,7000,500,75,3,60,31,No,100
2014,2,1,1,1,NA,96,785,2772,100,NA,3,31,1,No,100
2014,6,3,3,4,NA,600,NA,NA,600,150,4,1125,0,No,NA
2014,2,1,1,1,NA,600,NA,NA,250,100,1,1125,0,No,NA
2013,4,1,1,2,NA,119,NA,NA,0,85,2,365,20,Yes,100
2013,6,1,2,4,NA,229,NA,NA,0,95,2,365,27,Yes,100
